id,datestamp,timestamp,demand
348228,2014-09-20,19:25:03,34682
348229,2014-09-20,19:30:02,34511
348230,2014-09-20,19:35:01,34241
348231,2014-09-20,19:40:01,34187
348232,2014-09-20,19:45:02,33936
348233,2014-09-20,19:50:03,33647
348234,2014-09-20,19:55:01,33530
348235,2014-09-20,20:00:03,33431
348236,2014-09-20,20:05:01,33163
348237,2014-09-20,20:10:02,33133
348238,2014-09-20,20:15:02,32830
348239,2014-09-20,20:20:03,32640
348240,2014-09-20,20:25:02,32446
348241,2014-09-20,20:30:04,32419
348242,2014-09-20,20:35:02,32193
348243,2014-09-20,20:40:03,31933
348244,2014-09-20,20:45:02,31694
348245,2014-09-20,20:50:05,31481
348246,2014-09-20,20:55:05,31381
348247,2014-09-20,21:00:03,31195
348248,2014-09-20,21:05:01,30952
348249,2014-09-20,21:10:03,30784
348250,2014-09-20,21:15:04,30395
348251,2014-09-20,21:20:03,30165
348252,2014-09-20,21:25:01,29898
348253,2014-09-20,21:30:02,29696
348254,2014-09-20,21:35:02,29534
348255,2014-09-20,21:40:02,29265
348256,2014-09-20,21:45:03,29050
348257,2014-09-20,21:50:04,28777
348258,2014-09-20,21:55:03,28515
348259,2014-09-20,22:00:02,28233
348260,2014-09-20,22:05:03,27858
348261,2014-09-20,22:10:04,27572
348262,2014-09-20,22:15:02,27221
348263,2014-09-20,22:20:03,26943
348264,2014-09-20,22:25:01,26651
348265,2014-09-20,22:30:03,26394
348266,2014-09-20,22:35:02,26138
348267,2014-09-20,22:40:04,25938
348268,2014-09-20,22:45:01,25668
348269,2014-09-20,22:50:03,25411
348270,2014-09-20,22:55:02,25116
350227,2014-09-27,18:00:01,35469
350228,2014-09-27,18:05:03,35754
350229,2014-09-27,18:10:02,36043
350230,2014-09-27,18:15:02,36196
350231,2014-09-27,18:20:03,36261
350232,2014-09-27,18:25:03,36335
350233,2014-09-27,18:30:01,36315
350234,2014-09-27,18:35:02,36155
350235,2014-09-27,18:40:05,36042
350236,2014-09-27,18:45:02,35903
350237,2014-09-27,18:50:02,35627
350238,2014-09-27,18:55:02,35564
350239,2014-09-27,19:00:05,35401
350240,2014-09-27,19:05:01,35267
350241,2014-09-27,19:10:06,35308
350242,2014-09-27,19:15:03,35008
350243,2014-09-27,19:20:03,34712
350244,2014-09-27,19:25:02,34596
350245,2014-09-27,19:30:01,34490
350246,2014-09-27,19:35:03,34297
350247,2014-09-27,19:40:01,34345
350248,2014-09-27,19:45:02,34233
350249,2014-09-27,19:50:05,33823
350250,2014-09-27,19:55:04,33619
350251,2014-09-27,20:00:03,33524
350252,2014-09-27,20:05:04,33240
350253,2014-09-27,20:10:03,33136
350254,2014-09-27,20:15:02,32967
350255,2014-09-27,20:20:03,32632
350256,2014-09-27,20:25:02,32496
350257,2014-09-27,20:30:06,32408
350258,2014-09-27,20:35:04,32198
350259,2014-09-27,20:40:04,31979
350260,2014-09-27,20:45:02,31813
350261,2014-09-27,20:50:03,31677
350262,2014-09-27,20:55:02,31495
350263,2014-09-27,21:00:02,31308
350264,2014-09-27,21:05:02,31157
350265,2014-09-27,21:10:02,30954
350266,2014-09-27,21:15:03,30756
350267,2014-09-27,21:20:03,30489
350268,2014-09-27,21:25:01,30307
350269,2014-09-27,21:30:04,30123
350270,2014-09-27,21:35:09,29936
350271,2014-09-27,21:40:02,29781
